cp	hex	char	name	category	block	script	numeric_type	numeric_value	number_system	number_form	number_role	presentation	ucd_numeric	gradient_family	gradient_kind	gradient_axis	gradient_value	gradient_param	structured_family
2221	U+08AD	ࢭ	ARABIC LETTER LOW ALEF	Lo	Arabic Extended-A	Arabic	none						no						
2222	U+08AE	ࢮ	ARABIC LETTER DAL WITH THREE DOTS BELOW	Lo	Arabic Extended-A	Arabic	none						no						
2223	U+08AF	ࢯ	ARABIC LETTER SAD WITH THREE DOTS BELOW	Lo	Arabic Extended-A	Arabic	none						no						
2224	U+08B0	ࢰ	ARABIC LETTER GAF WITH INVERTED STROKE	Lo	Arabic Extended-A	Arabic	none						no						
2225	U+08B1	ࢱ	ARABIC LETTER STRAIGHT WAW	Lo	Arabic Extended-A	Arabic	none						no						
2226	U+08B2	ࢲ	ARABIC LETTER ZAIN WITH INVERTED V ABOVE	Lo	Arabic Extended-A	Arabic	none						no						
2227	U+08B3	ࢳ	ARABIC LETTER AIN WITH THREE DOTS BELOW	Lo	Arabic Extended-A	Arabic	none						no						
2228	U+08B4	ࢴ	ARABIC LETTER KAF WITH DOT BELOW	Lo	Arabic Extended-A	Arabic	none						no						
2229	U+08B5	ࢵ	ARABIC LETTER QAF WITH DOT BELOW AND NO DOTS ABOVE	Lo	Arabic Extended-A	Arabic	none						no						
2230	U+08B6	ࢶ	ARABIC LETTER BEH WITH SMALL MEEM ABOVE	Lo	Arabic Extended-A	Arabic	none						no						
2231	U+08B7	ࢷ	ARABIC LETTER PEH WITH SMALL MEEM ABOVE	Lo	Arabic Extended-A	Arabic	none						no						
2232	U+08B8	ࢸ	ARABIC LETTER TEH WITH SMALL TEH ABOVE	Lo	Arabic Extended-A	Arabic	none						no						
2233	U+08B9	ࢹ	ARABIC LETTER REH WITH SMALL NOON ABOVE	Lo	Arabic Extended-A	Arabic	none						no						
2234	U+08BA	ࢺ	ARABIC LETTER YEH WITH TWO DOTS BELOW AND SMALL NOON ABOVE	Lo	Arabic Extended-A	Arabic	none						no						
2235	U+08BB	ࢻ	ARABIC LETTER AFRICAN FEH	Lo	Arabic Extended-A	Arabic	none						no						
2236	U+08BC	ࢼ	ARABIC LETTER AFRICAN QAF	Lo	Arabic Extended-A	Arabic	none						no						
2237	U+08BD	ࢽ	ARABIC LETTER AFRICAN NOON	Lo	Arabic Extended-A	Arabic	none						no						
2238	U+08BE	ࢾ	ARABIC LETTER PEH WITH SMALL V	Lo	Arabic Extended-A	Arabic	none						no						
2239	U+08BF	ࢿ	ARABIC LETTER TEH WITH SMALL V	Lo	Arabic Extended-A	Arabic	none						no						
2240	U+08C0	ࣀ	ARABIC LETTER TTEH WITH SMALL V	Lo	Arabic Extended-A	Arabic	none						no						
2241	U+08C1	ࣁ	ARABIC LETTER TCHEH WITH SMALL V	Lo	Arabic Extended-A	Arabic	none						no						
2242	U+08C2	ࣂ	ARABIC LETTER KEHEH WITH SMALL V	Lo	Arabic Extended-A	Arabic	none						no						
2243	U+08C3	ࣃ	ARABIC LETTER GHAIN WITH THREE DOTS ABOVE	Lo	Arabic Extended-A	Arabic	none						no						
2244	U+08C4	ࣄ	ARABIC LETTER AFRICAN QAF WITH THREE DOTS ABOVE	Lo	Arabic Extended-A	Arabic	none						no						
2245	U+08C5	ࣅ	ARABIC LETTER JEEM WITH THREE DOTS ABOVE	Lo	Arabic Extended-A	Arabic	none						no						
2246	U+08C6	ࣆ	ARABIC LETTER JEEM WITH THREE DOTS BELOW	Lo	Arabic Extended-A	Arabic	none						no						
2247	U+08C7	ࣇ	ARABIC LETTER LAM WITH SMALL ARABIC LETTER TAH ABOVE	Lo	Arabic Extended-A	Arabic	none						no						
2248	U+08C8	ࣈ	ARABIC LETTER GRAF	Lo	Arabic Extended-A	Arabic	none						no						
2249	U+08C9	ࣉ	ARABIC SMALL FARSI YEH	Lm	Arabic Extended-A	Arabic	none						no						
2250	U+08CA	࣊	ARABIC SMALL HIGH FARSI YEH	Mn	Arabic Extended-A	Arabic	none						no						
2251	U+08CB	࣋	ARABIC SMALL HIGH YEH BARREE WITH TWO DOTS BELOW	Mn	Arabic Extended-A	Arabic	none						no						
2252	U+08CC	࣌	ARABIC SMALL HIGH WORD SAH	Mn	Arabic Extended-A	Arabic	none						no						
2253	U+08CD	࣍	ARABIC SMALL HIGH ZAH	Mn	Arabic Extended-A	Arabic	none						no						
2254	U+08CE	࣎	ARABIC LARGE ROUND DOT ABOVE	Mn	Arabic Extended-A	Arabic	none						no						
2255	U+08CF	࣏	ARABIC LARGE ROUND DOT BELOW	Mn	Arabic Extended-A	Arabic	none						no						
2256	U+08D0	࣐	ARABIC SUKUN BELOW	Mn	Arabic Extended-A	Arabic	none						no						
2257	U+08D1	࣑	ARABIC LARGE CIRCLE BELOW	Mn	Arabic Extended-A	Arabic	none						no						
2258	U+08D2	࣒	ARABIC LARGE ROUND DOT INSIDE CIRCLE BELOW	Mn	Arabic Extended-A	Arabic	none						no						
2259	U+08D3	࣓	ARABIC SMALL LOW WAW	Mn	Arabic Extended-A	Arabic	none						no						
2260	U+08D4	ࣔ	ARABIC SMALL HIGH WORD AR-RUB	Mn	Arabic Extended-A	Arabic	none						no						
2261	U+08D5	ࣕ	ARABIC SMALL HIGH SAD	Mn	Arabic Extended-A	Arabic	none						no						
2262	U+08D6	ࣖ	ARABIC SMALL HIGH AIN	Mn	Arabic Extended-A	Arabic	none						no						
2263	U+08D7	ࣗ	ARABIC SMALL HIGH QAF	Mn	Arabic Extended-A	Arabic	none						no						
2264	U+08D8	ࣘ	ARABIC SMALL HIGH NOON WITH KASRA	Mn	Arabic Extended-A	Arabic	none						no						
2265	U+08D9	ࣙ	ARABIC SMALL LOW NOON WITH KASRA	Mn	Arabic Extended-A	Arabic	none						no						
2266	U+08DA	ࣚ	ARABIC SMALL HIGH WORD ATH-THALATHA	Mn	Arabic Extended-A	Arabic	none						no						
2267	U+08DB	ࣛ	ARABIC SMALL HIGH WORD AS-SAJDA	Mn	Arabic Extended-A	Arabic	none						no						
2268	U+08DC	ࣜ	ARABIC SMALL HIGH WORD AN-NISF	Mn	Arabic Extended-A	Arabic	none						no						
2269	U+08DD	ࣝ	ARABIC SMALL HIGH WORD SAKTA	Mn	Arabic Extended-A	Arabic	none						no						
2270	U+08DE	ࣞ	ARABIC SMALL HIGH WORD QIF	Mn	Arabic Extended-A	Arabic	none						no						
2271	U+08DF	ࣟ	ARABIC SMALL HIGH WORD WAQFA	Mn	Arabic Extended-A	Arabic	none						no						
2272	U+08E0	࣠	ARABIC SMALL HIGH FOOTNOTE MARKER	Mn	Arabic Extended-A	Arabic	none						no						
2273	U+08E1	࣡	ARABIC SMALL HIGH SIGN SAFHA	Mn	Arabic Extended-A	Arabic	none						no						
2274	U+08E2		ARABIC DISPUTED END OF AYAH	Cf	Arabic Extended-A	Common	none						no						
2275	U+08E3	ࣣ	ARABIC TURNED DAMMA BELOW	Mn	Arabic Extended-A	Arabic	none						no						
2276	U+08E4	ࣤ	ARABIC CURLY FATHA	Mn	Arabic Extended-A	Arabic	none						no						
2277	U+08E5	ࣥ	ARABIC CURLY DAMMA	Mn	Arabic Extended-A	Arabic	none						no						
2278	U+08E6	ࣦ	ARABIC CURLY KASRA	Mn	Arabic Extended-A	Arabic	none						no						
2279	U+08E7	ࣧ	ARABIC CURLY FATHATAN	Mn	Arabic Extended-A	Arabic	none						no						
2280	U+08E8	ࣨ	ARABIC CURLY DAMMATAN	Mn	Arabic Extended-A	Arabic	none						no						
2281	U+08E9	ࣩ	ARABIC CURLY KASRATAN	Mn	Arabic Extended-A	Arabic	none						no						
2282	U+08EA	࣪	ARABIC TONE ONE DOT ABOVE	Mn	Arabic Extended-A	Arabic	none						no						
2283	U+08EB	࣫	ARABIC TONE TWO DOTS ABOVE	Mn	Arabic Extended-A	Arabic	none						no						
2284	U+08EC	࣬	ARABIC TONE LOOP ABOVE	Mn	Arabic Extended-A	Arabic	none						no						
2285	U+08ED	࣭	ARABIC TONE ONE DOT BELOW	Mn	Arabic Extended-A	Arabic	none						no						
2286	U+08EE	࣮	ARABIC TONE TWO DOTS BELOW	Mn	Arabic Extended-A	Arabic	none						no						
2287	U+08EF	࣯	ARABIC TONE LOOP BELOW	Mn	Arabic Extended-A	Arabic	none						no						
2288	U+08F0	ࣰ	ARABIC OPEN FATHATAN	Mn	Arabic Extended-A	Arabic	none						no						
2289	U+08F1	ࣱ	ARABIC OPEN DAMMATAN	Mn	Arabic Extended-A	Arabic	none						no						
2290	U+08F2	ࣲ	ARABIC OPEN KASRATAN	Mn	Arabic Extended-A	Arabic	none						no						
2291	U+08F3	ࣳ	ARABIC SMALL HIGH WAW	Mn	Arabic Extended-A	Arabic	none						no						
2292	U+08F4	ࣴ	ARABIC FATHA WITH RING	Mn	Arabic Extended-A	Arabic	none						no						
2293	U+08F5	ࣵ	ARABIC FATHA WITH DOT ABOVE	Mn	Arabic Extended-A	Arabic	none						no						
2294	U+08F6	ࣶ	ARABIC KASRA WITH DOT BELOW	Mn	Arabic Extended-A	Arabic	none						no						
2295	U+08F7	ࣷ	ARABIC LEFT ARROWHEAD ABOVE	Mn	Arabic Extended-A	Arabic	none						no						
2296	U+08F8	ࣸ	ARABIC RIGHT ARROWHEAD ABOVE	Mn	Arabic Extended-A	Arabic	none						no						
2297	U+08F9	ࣹ	ARABIC LEFT ARROWHEAD BELOW	Mn	Arabic Extended-A	Arabic	none						no						
2298	U+08FA	ࣺ	ARABIC RIGHT ARROWHEAD BELOW	Mn	Arabic Extended-A	Arabic	none						no						
2299	U+08FB	ࣻ	ARABIC DOUBLE RIGHT ARROWHEAD ABOVE	Mn	Arabic Extended-A	Arabic	none						no						
2300	U+08FC	ࣼ	ARABIC DOUBLE RIGHT ARROWHEAD ABOVE WITH DOT	Mn	Arabic Extended-A	Arabic	none						no						
2301	U+08FD	ࣽ	ARABIC RIGHT ARROWHEAD ABOVE WITH DOT	Mn	Arabic Extended-A	Arabic	none						no						
2302	U+08FE	ࣾ	ARABIC DAMMA WITH DOT	Mn	Arabic Extended-A	Arabic	none						no						
2303	U+08FF	ࣿ	ARABIC MARK SIDEWAYS NOON GHUNNA	Mn	Arabic Extended-A	Arabic	none						no						
2304	U+0900	ऀ	DEVANAGARI SIGN INVERTED CANDRABINDU	Mn	Devanagari	Devanagari	none						no						
2305	U+0901	ँ	DEVANAGARI SIGN CANDRABINDU	Mn	Devanagari	Devanagari	none						no						
2306	U+0902	ं	DEVANAGARI SIGN ANUSVARA	Mn	Devanagari	Devanagari	none						no						
2307	U+0903	ः	DEVANAGARI SIGN VISARGA	Mc	Devanagari	Devanagari	none						no						
2308	U+0904	ऄ	DEVANAGARI LETTER SHORT A	Lo	Devanagari	Devanagari	none						no						
2309	U+0905	अ	DEVANAGARI LETTER A	Lo	Devanagari	Devanagari	none						no						
2310	U+0906	आ	DEVANAGARI LETTER AA	Lo	Devanagari	Devanagari	none						no						
2311	U+0907	इ	DEVANAGARI LETTER I	Lo	Devanagari	Devanagari	none						no						
2312	U+0908	ई	DEVANAGARI LETTER II	Lo	Devanagari	Devanagari	none						no						
2313	U+0909	उ	DEVANAGARI LETTER U	Lo	Devanagari	Devanagari	none						no						
2314	U+090A	ऊ	DEVANAGARI LETTER UU	Lo	Devanagari	Devanagari	none						no						
2315	U+090B	ऋ	DEVANAGARI LETTER VOCALIC R	Lo	Devanagari	Devanagari	none						no						
2316	U+090C	ऌ	DEVANAGARI LETTER VOCALIC L	Lo	Devanagari	Devanagari	none						no						
2317	U+090D	ऍ	DEVANAGARI LETTER CANDRA E	Lo	Devanagari	Devanagari	none						no						
2318	U+090E	ऎ	DEVANAGARI LETTER SHORT E	Lo	Devanagari	Devanagari	none						no						
2319	U+090F	ए	DEVANAGARI LETTER E	Lo	Devanagari	Devanagari	none						no						
2320	U+0910	ऐ	DEVANAGARI LETTER AI	Lo	Devanagari	Devanagari	none						no						
2321	U+0911	ऑ	DEVANAGARI LETTER CANDRA O	Lo	Devanagari	Devanagari	none						no						
2322	U+0912	ऒ	DEVANAGARI LETTER SHORT O	Lo	Devanagari	Devanagari	none						no						
2323	U+0913	ओ	DEVANAGARI LETTER O	Lo	Devanagari	Devanagari	none						no						
2324	U+0914	औ	DEVANAGARI LETTER AU	Lo	Devanagari	Devanagari	none						no						
2325	U+0915	क	DEVANAGARI LETTER KA	Lo	Devanagari	Devanagari	none						no						
2326	U+0916	ख	DEVANAGARI LETTER KHA	Lo	Devanagari	Devanagari	none						no						
2327	U+0917	ग	DEVANAGARI LETTER GA	Lo	Devanagari	Devanagari	none						no						
2328	U+0918	घ	DEVANAGARI LETTER GHA	Lo	Devanagari	Devanagari	none						no						
2329	U+0919	ङ	DEVANAGARI LETTER NGA	Lo	Devanagari	Devanagari	none						no						
2330	U+091A	च	DEVANAGARI LETTER CA	Lo	Devanagari	Devanagari	none						no						
2331	U+091B	छ	DEVANAGARI LETTER CHA	Lo	Devanagari	Devanagari	none						no						
2332	U+091C	ज	DEVANAGARI LETTER JA	Lo	Devanagari	Devanagari	none						no						
2333	U+091D	झ	DEVANAGARI LETTER JHA	Lo	Devanagari	Devanagari	none						no						
2334	U+091E	ञ	DEVANAGARI LETTER NYA	Lo	Devanagari	Devanagari	none						no						
2335	U+091F	ट	DEVANAGARI LETTER TTA	Lo	Devanagari	Devanagari	none						no						
2336	U+0920	ठ	DEVANAGARI LETTER TTHA	Lo	Devanagari	Devanagari	none						no						
2337	U+0921	ड	DEVANAGARI LETTER DDA	Lo	Devanagari	Devanagari	none						no						
2338	U+0922	ढ	DEVANAGARI LETTER DDHA	Lo	Devanagari	Devanagari	none						no						
2339	U+0923	ण	DEVANAGARI LETTER NNA	Lo	Devanagari	Devanagari	none						no						
2340	U+0924	त	DEVANAGARI LETTER TA	Lo	Devanagari	Devanagari	none						no						
2341	U+0925	थ	DEVANAGARI LETTER THA	Lo	Devanagari	Devanagari	none						no						
2342	U+0926	द	DEVANAGARI LETTER DA	Lo	Devanagari	Devanagari	none						no						
2343	U+0927	ध	DEVANAGARI LETTER DHA	Lo	Devanagari	Devanagari	none						no						
2344	U+0928	न	DEVANAGARI LETTER NA	Lo	Devanagari	Devanagari	none						no						
2345	U+0929	ऩ	DEVANAGARI LETTER NNNA	Lo	Devanagari	Devanagari	none						no						
2346	U+092A	प	DEVANAGARI LETTER PA	Lo	Devanagari	Devanagari	none						no						
2347	U+092B	फ	DEVANAGARI LETTER PHA	Lo	Devanagari	Devanagari	none						no						
2348	U+092C	ब	DEVANAGARI LETTER BA	Lo	Devanagari	Devanagari	none						no						
2349	U+092D	भ	DEVANAGARI LETTER BHA	Lo	Devanagari	Devanagari	none						no						
2350	U+092E	म	DEVANAGARI LETTER MA	Lo	Devanagari	Devanagari	none						no						
2351	U+092F	य	DEVANAGARI LETTER YA	Lo	Devanagari	Devanagari	none						no						
2352	U+0930	र	DEVANAGARI LETTER RA	Lo	Devanagari	Devanagari	none						no						
2353	U+0931	ऱ	DEVANAGARI LETTER RRA	Lo	Devanagari	Devanagari	none						no						
2354	U+0932	ल	DEVANAGARI LETTER LA	Lo	Devanagari	Devanagari	none						no						
2355	U+0933	ळ	DEVANAGARI LETTER LLA	Lo	Devanagari	Devanagari	none						no						
2356	U+0934	ऴ	DEVANAGARI LETTER LLLA	Lo	Devanagari	Devanagari	none						no						
2357	U+0935	व	DEVANAGARI LETTER VA	Lo	Devanagari	Devanagari	none						no						
2358	U+0936	श	DEVANAGARI LETTER SHA	Lo	Devanagari	Devanagari	none						no						
2359	U+0937	ष	DEVANAGARI LETTER SSA	Lo	Devanagari	Devanagari	none						no						
2360	U+0938	स	DEVANAGARI LETTER SA	Lo	Devanagari	Devanagari	none						no						
2361	U+0939	ह	DEVANAGARI LETTER HA	Lo	Devanagari	Devanagari	none						no						
2362	U+093A	ऺ	DEVANAGARI VOWEL SIGN OE	Mn	Devanagari	Devanagari	none						no						
2363	U+093B	ऻ	DEVANAGARI VOWEL SIGN OOE	Mc	Devanagari	Devanagari	none						no						
2364	U+093C	़	DEVANAGARI SIGN NUKTA	Mn	Devanagari	Devanagari	none						no						
2365	U+093D	ऽ	DEVANAGARI SIGN AVAGRAHA	Lo	Devanagari	Devanagari	none						no						
2366	U+093E	ा	DEVANAGARI VOWEL SIGN AA	Mc	Devanagari	Devanagari	none						no						
2367	U+093F	ि	DEVANAGARI VOWEL SIGN I	Mc	Devanagari	Devanagari	none						no						
2368	U+0940	ी	DEVANAGARI VOWEL SIGN II	Mc	Devanagari	Devanagari	none						no						
2369	U+0941	ु	DEVANAGARI VOWEL SIGN U	Mn	Devanagari	Devanagari	none						no						
2370	U+0942	ू	DEVANAGARI VOWEL SIGN UU	Mn	Devanagari	Devanagari	none						no						
2371	U+0943	ृ	DEVANAGARI VOWEL SIGN VOCALIC R	Mn	Devanagari	Devanagari	none						no						
2372	U+0944	ॄ	DEVANAGARI VOWEL SIGN VOCALIC RR	Mn	Devanagari	Devanagari	none						no						
2373	U+0945	ॅ	DEVANAGARI VOWEL SIGN CANDRA E	Mn	Devanagari	Devanagari	none						no						
2374	U+0946	ॆ	DEVANAGARI VOWEL SIGN SHORT E	Mn	Devanagari	Devanagari	none						no						
2375	U+0947	े	DEVANAGARI VOWEL SIGN E	Mn	Devanagari	Devanagari	none						no						
2376	U+0948	ै	DEVANAGARI VOWEL SIGN AI	Mn	Devanagari	Devanagari	none						no						
2377	U+0949	ॉ	DEVANAGARI VOWEL SIGN CANDRA O	Mc	Devanagari	Devanagari	none						no						
2378	U+094A	ॊ	DEVANAGARI VOWEL SIGN SHORT O	Mc	Devanagari	Devanagari	none						no						
2379	U+094B	ो	DEVANAGARI VOWEL SIGN O	Mc	Devanagari	Devanagari	none						no						
2380	U+094C	ौ	DEVANAGARI VOWEL SIGN AU	Mc	Devanagari	Devanagari	none						no						
2381	U+094D	्	DEVANAGARI SIGN VIRAMA	Mn	Devanagari	Devanagari	none						no						
2382	U+094E	ॎ	DEVANAGARI VOWEL SIGN PRISHTHAMATRA E	Mc	Devanagari	Devanagari	none						no						
2383	U+094F	ॏ	DEVANAGARI VOWEL SIGN AW	Mc	Devanagari	Devanagari	none						no						
2384	U+0950	ॐ	DEVANAGARI OM	Lo	Devanagari	Devanagari	none						no						
2385	U+0951	॑	DEVANAGARI STRESS SIGN UDATTA	Mn	Devanagari	Inherited	none						no						
2386	U+0952	॒	DEVANAGARI STRESS SIGN ANUDATTA	Mn	Devanagari	Inherited	none						no						
2387	U+0953	॓	DEVANAGARI GRAVE ACCENT	Mn	Devanagari	Inherited	none						no						
2388	U+0954	॔	DEVANAGARI ACUTE ACCENT	Mn	Devanagari	Inherited	none						no						
2389	U+0955	ॕ	DEVANAGARI VOWEL SIGN CANDRA LONG E	Mn	Devanagari	Devanagari	none						no						
2390	U+0956	ॖ	DEVANAGARI VOWEL SIGN UE	Mn	Devanagari	Devanagari	none						no						
2391	U+0957	ॗ	DEVANAGARI VOWEL SIGN UUE	Mn	Devanagari	Devanagari	none						no						
2392	U+0958	क़	DEVANAGARI LETTER QA	Lo	Devanagari	Devanagari	none						no						
2393	U+0959	ख़	DEVANAGARI LETTER KHHA	Lo	Devanagari	Devanagari	none						no						
2394	U+095A	ग़	DEVANAGARI LETTER GHHA	Lo	Devanagari	Devanagari	none						no						
2395	U+095B	ज़	DEVANAGARI LETTER ZA	Lo	Devanagari	Devanagari	none						no						
2396	U+095C	ड़	DEVANAGARI LETTER DDDHA	Lo	Devanagari	Devanagari	none						no						
2397	U+095D	ढ़	DEVANAGARI LETTER RHA	Lo	Devanagari	Devanagari	none						no						
2398	U+095E	फ़	DEVANAGARI LETTER FA	Lo	Devanagari	Devanagari	none						no						
2399	U+095F	य़	DEVANAGARI LETTER YYA	Lo	Devanagari	Devanagari	none						no						
2400	U+0960	ॠ	DEVANAGARI LETTER VOCALIC RR	Lo	Devanagari	Devanagari	none						no						
2401	U+0961	ॡ	DEVANAGARI LETTER VOCALIC LL	Lo	Devanagari	Devanagari	none						no						
2402	U+0962	ॢ	DEVANAGARI VOWEL SIGN VOCALIC L	Mn	Devanagari	Devanagari	none						no						
2403	U+0963	ॣ	DEVANAGARI VOWEL SIGN VOCALIC LL	Mn	Devanagari	Devanagari	none						no						
2404	U+0964	।	DEVANAGARI DANDA	Po	Devanagari	Common	none						no						
2405	U+0965	॥	DEVANAGARI DOUBLE DANDA	Po	Devanagari	Common	none						no						
2406	U+0966	०	DEVANAGARI DIGIT ZERO	Nd	Devanagari	Devanagari	decimal	0	devanagari	positional-decimal	digit		yes						
2407	U+0967	१	DEVANAGARI DIGIT ONE	Nd	Devanagari	Devanagari	decimal	1	devanagari	positional-decimal	digit		yes						
2408	U+0968	२	DEVANAGARI DIGIT TWO	Nd	Devanagari	Devanagari	decimal	2	devanagari	positional-decimal	digit		yes						
2409	U+0969	३	DEVANAGARI DIGIT THREE	Nd	Devanagari	Devanagari	decimal	3	devanagari	positional-decimal	digit		yes						
2410	U+096A	४	DEVANAGARI DIGIT FOUR	Nd	Devanagari	Devanagari	decimal	4	devanagari	positional-decimal	digit		yes						
2411	U+096B	५	DEVANAGARI DIGIT FIVE	Nd	Devanagari	Devanagari	decimal	5	devanagari	positional-decimal	digit		yes						
2412	U+096C	६	DEVANAGARI DIGIT SIX	Nd	Devanagari	Devanagari	decimal	6	devanagari	positional-decimal	digit		yes						
2413	U+096D	७	DEVANAGARI DIGIT SEVEN	Nd	Devanagari	Devanagari	decimal	7	devanagari	positional-decimal	digit		yes						
2414	U+096E	८	DEVANAGARI DIGIT EIGHT	Nd	Devanagari	Devanagari	decimal	8	devanagari	positional-decimal	digit		yes						
2415	U+096F	९	DEVANAGARI DIGIT NINE	Nd	Devanagari	Devanagari	decimal	9	devanagari	positional-decimal	digit		yes						
2416	U+0970	॰	DEVANAGARI ABBREVIATION SIGN	Po	Devanagari	Devanagari	none						no						
2417	U+0971	ॱ	DEVANAGARI SIGN HIGH SPACING DOT	Lm	Devanagari	Devanagari	none						no						
2418	U+0972	ॲ	DEVANAGARI LETTER CANDRA A	Lo	Devanagari	Devanagari	none						no						
2419	U+0973	ॳ	DEVANAGARI LETTER OE	Lo	Devanagari	Devanagari	none						no						
2420	U+0974	ॴ	DEVANAGARI LETTER OOE	Lo	Devanagari	Devanagari	none						no						
2421	U+0975	ॵ	DEVANAGARI LETTER AW	Lo	Devanagari	Devanagari	none						no						
2422	U+0976	ॶ	DEVANAGARI LETTER UE	Lo	Devanagari	Devanagari	none						no						
2423	U+0977	ॷ	DEVANAGARI LETTER UUE	Lo	Devanagari	Devanagari	none						no						
2424	U+0978	ॸ	DEVANAGARI LETTER MARWARI DDA	Lo	Devanagari	Devanagari	none						no						
2425	U+0979	ॹ	DEVANAGARI LETTER ZHA	Lo	Devanagari	Devanagari	none						no						
2426	U+097A	ॺ	DEVANAGARI LETTER HEAVY YA	Lo	Devanagari	Devanagari	none						no						
2427	U+097B	ॻ	DEVANAGARI LETTER GGA	Lo	Devanagari	Devanagari	none						no						
2428	U+097C	ॼ	DEVANAGARI LETTER JJA	Lo	Devanagari	Devanagari	none						no						
2429	U+097D	ॽ	DEVANAGARI LETTER GLOTTAL STOP	Lo	Devanagari	Devanagari	none						no						
2430	U+097E	ॾ	DEVANAGARI LETTER DDDA	Lo	Devanagari	Devanagari	none						no						
2431	U+097F	ॿ	DEVANAGARI LETTER BBA	Lo	Devanagari	Devanagari	none						no						
2432	U+0980	ঀ	BENGALI ANJI	Lo	Bengali	Bengali	none						no						
2433	U+0981	ঁ	BENGALI SIGN CANDRABINDU	Mn	Bengali	Bengali	none						no						
2434	U+0982	ং	BENGALI SIGN ANUSVARA	Mc	Bengali	Bengali	none						no						
2435	U+0983	ঃ	BENGALI SIGN VISARGA	Mc	Bengali	Bengali	none						no						
2437	U+0985	অ	BENGALI LETTER A	Lo	Bengali	Bengali	none						no						
2438	U+0986	আ	BENGALI LETTER AA	Lo	Bengali	Bengali	none						no						
2439	U+0987	ই	BENGALI LETTER I	Lo	Bengali	Bengali	none						no						
2440	U+0988	ঈ	BENGALI LETTER II	Lo	Bengali	Bengali	none						no						
2441	U+0989	উ	BENGALI LETTER U	Lo	Bengali	Bengali	none						no						
2442	U+098A	ঊ	BENGALI LETTER UU	Lo	Bengali	Bengali	none						no						
2443	U+098B	ঋ	BENGALI LETTER VOCALIC R	Lo	Bengali	Bengali	none						no						
2444	U+098C	ঌ	BENGALI LETTER VOCALIC L	Lo	Bengali	Bengali	none						no						
2447	U+098F	এ	BENGALI LETTER E	Lo	Bengali	Bengali	none						no						
2448	U+0990	ঐ	BENGALI LETTER AI	Lo	Bengali	Bengali	none						no						
2451	U+0993	ও	BENGALI LETTER O	Lo	Bengali	Bengali	none						no						
2452	U+0994	ঔ	BENGALI LETTER AU	Lo	Bengali	Bengali	none						no						
2453	U+0995	ক	BENGALI LETTER KA	Lo	Bengali	Bengali	none						no						
2454	U+0996	খ	BENGALI LETTER KHA	Lo	Bengali	Bengali	none						no						
2455	U+0997	গ	BENGALI LETTER GA	Lo	Bengali	Bengali	none						no						
2456	U+0998	ঘ	BENGALI LETTER GHA	Lo	Bengali	Bengali	none						no						
2457	U+0999	ঙ	BENGALI LETTER NGA	Lo	Bengali	Bengali	none						no						
2458	U+099A	চ	BENGALI LETTER CA	Lo	Bengali	Bengali	none						no						
2459	U+099B	ছ	BENGALI LETTER CHA	Lo	Bengali	Bengali	none						no						
2460	U+099C	জ	BENGALI LETTER JA	Lo	Bengali	Bengali	none						no						
2461	U+099D	ঝ	BENGALI LETTER JHA	Lo	Bengali	Bengali	none						no						
2462	U+099E	ঞ	BENGALI LETTER NYA	Lo	Bengali	Bengali	none						no						
2463	U+099F	ট	BENGALI LETTER TTA	Lo	Bengali	Bengali	none						no						
2464	U+09A0	ঠ	BENGALI LETTER TTHA	Lo	Bengali	Bengali	none						no						
2465	U+09A1	ড	BENGALI LETTER DDA	Lo	Bengali	Bengali	none						no						
2466	U+09A2	ঢ	BENGALI LETTER DDHA	Lo	Bengali	Bengali	none						no						
2467	U+09A3	ণ	BENGALI LETTER NNA	Lo	Bengali	Bengali	none						no						
2468	U+09A4	ত	BENGALI LETTER TA	Lo	Bengali	Bengali	none						no						
2469	U+09A5	থ	BENGALI LETTER THA	Lo	Bengali	Bengali	none						no						
2470	U+09A6	দ	BENGALI LETTER DA	Lo	Bengali	Bengali	none						no						
2471	U+09A7	ধ	BENGALI LETTER DHA	Lo	Bengali	Bengali	none						no						
2472	U+09A8	ন	BENGALI LETTER NA	Lo	Bengali	Bengali	none						no						
2474	U+09AA	প	BENGALI LETTER PA	Lo	Bengali	Bengali	none						no						
2475	U+09AB	ফ	BENGALI LETTER PHA	Lo	Bengali	Bengali	none						no						
2476	U+09AC	ব	BENGALI LETTER BA	Lo	Bengali	Bengali	none						no						
2477	U+09AD	ভ	BENGALI LETTER BHA	Lo	Bengali	Bengali	none						no						
2478	U+09AE	ম	BENGALI LETTER MA	Lo	Bengali	Bengali	none						no						
2479	U+09AF	য	BENGALI LETTER YA	Lo	Bengali	Bengali	none						no						
2480	U+09B0	র	BENGALI LETTER RA	Lo	Bengali	Bengali	none						no						
2482	U+09B2	ল	BENGALI LETTER LA	Lo	Bengali	Bengali	none						no						
2486	U+09B6	শ	BENGALI LETTER SHA	Lo	Bengali	Bengali	none						no						
2487	U+09B7	ষ	BENGALI LETTER SSA	Lo	Bengali	Bengali	none						no						
2488	U+09B8	স	BENGALI LETTER SA	Lo	Bengali	Bengali	none						no						
2489	U+09B9	হ	BENGALI LETTER HA	Lo	Bengali	Bengali	none						no						
2492	U+09BC	়	BENGALI SIGN NUKTA	Mn	Bengali	Bengali	none						no						
