cp	hex	char	utf8_bytes	o200k_base_n	o200k_base_ids	o200k_base_rt	o200k_base_bucket	o200k_harmony_n	o200k_harmony_ids	o200k_harmony_rt	o200k_harmony_bucket	cl100k_base_n	cl100k_base_ids	cl100k_base_rt	cl100k_base_bucket	r50k_base_n	r50k_base_ids	r50k_base_rt	r50k_base_bucket	llama32_n	llama32_ids	llama32_rt	llama32_bucket	claude_xenova_n	claude_xenova_ids	claude_xenova_rt	claude_xenova_bucket
67	U+0043	C	1	1	34	yes	single-token	1	34	yes	single-token	1	34	yes	single-token	1	34	yes	single-token	2	128000,34	yes	fragmented	1	39	yes	single-token
68	U+0044	D	1	1	35	yes	single-token	1	35	yes	single-token	1	35	yes	single-token	1	35	yes	single-token	2	128000,35	yes	fragmented	1	40	yes	single-token
69	U+0045	E	1	1	36	yes	single-token	1	36	yes	single-token	1	36	yes	single-token	1	36	yes	single-token	2	128000,36	yes	fragmented	1	41	yes	single-token
70	U+0046	F	1	1	37	yes	single-token	1	37	yes	single-token	1	37	yes	single-token	1	37	yes	single-token	2	128000,37	yes	fragmented	1	42	yes	single-token
71	U+0047	G	1	1	38	yes	single-token	1	38	yes	single-token	1	38	yes	single-token	1	38	yes	single-token	2	128000,38	yes	fragmented	1	43	yes	single-token
72	U+0048	H	1	1	39	yes	single-token	1	39	yes	single-token	1	39	yes	single-token	1	39	yes	single-token	2	128000,39	yes	fragmented	1	44	yes	single-token
73	U+0049	I	1	1	40	yes	single-token	1	40	yes	single-token	1	40	yes	single-token	1	40	yes	single-token	2	128000,40	yes	fragmented	1	45	yes	single-token
74	U+004A	J	1	1	41	yes	single-token	1	41	yes	single-token	1	41	yes	single-token	1	41	yes	single-token	2	128000,41	yes	fragmented	1	46	yes	single-token
75	U+004B	K	1	1	42	yes	single-token	1	42	yes	single-token	1	42	yes	single-token	1	42	yes	single-token	2	128000,42	yes	fragmented	1	47	yes	single-token
76	U+004C	L	1	1	43	yes	single-token	1	43	yes	single-token	1	43	yes	single-token	1	43	yes	single-token	2	128000,43	yes	fragmented	1	48	yes	single-token
77	U+004D	M	1	1	44	yes	single-token	1	44	yes	single-token	1	44	yes	single-token	1	44	yes	single-token	2	128000,44	yes	fragmented	1	49	yes	single-token
78	U+004E	N	1	1	45	yes	single-token	1	45	yes	single-token	1	45	yes	single-token	1	45	yes	single-token	2	128000,45	yes	fragmented	1	50	yes	single-token
79	U+004F	O	1	1	46	yes	single-token	1	46	yes	single-token	1	46	yes	single-token	1	46	yes	single-token	2	128000,46	yes	fragmented	1	51	yes	single-token
80	U+0050	P	1	1	47	yes	single-token	1	47	yes	single-token	1	47	yes	single-token	1	47	yes	single-token	2	128000,47	yes	fragmented	1	52	yes	single-token
81	U+0051	Q	1	1	48	yes	single-token	1	48	yes	single-token	1	48	yes	single-token	1	48	yes	single-token	2	128000,48	yes	fragmented	1	53	yes	single-token
82	U+0052	R	1	1	49	yes	single-token	1	49	yes	single-token	1	49	yes	single-token	1	49	yes	single-token	2	128000,49	yes	fragmented	1	54	yes	single-token
83	U+0053	S	1	1	50	yes	single-token	1	50	yes	single-token	1	50	yes	single-token	1	50	yes	single-token	2	128000,50	yes	fragmented	1	55	yes	single-token
84	U+0054	T	1	1	51	yes	single-token	1	51	yes	single-token	1	51	yes	single-token	1	51	yes	single-token	2	128000,51	yes	fragmented	1	56	yes	single-token
85	U+0055	U	1	1	52	yes	single-token	1	52	yes	single-token	1	52	yes	single-token	1	52	yes	single-token	2	128000,52	yes	fragmented	1	57	yes	single-token
86	U+0056	V	1	1	53	yes	single-token	1	53	yes	single-token	1	53	yes	single-token	1	53	yes	single-token	2	128000,53	yes	fragmented	1	58	yes	single-token
87	U+0057	W	1	1	54	yes	single-token	1	54	yes	single-token	1	54	yes	single-token	1	54	yes	single-token	2	128000,54	yes	fragmented	1	59	yes	single-token
88	U+0058	X	1	1	55	yes	single-token	1	55	yes	single-token	1	55	yes	single-token	1	55	yes	single-token	2	128000,55	yes	fragmented	1	60	yes	single-token
89	U+0059	Y	1	1	56	yes	single-token	1	56	yes	single-token	1	56	yes	single-token	1	56	yes	single-token	2	128000,56	yes	fragmented	1	61	yes	single-token
90	U+005A	Z	1	1	57	yes	single-token	1	57	yes	single-token	1	57	yes	single-token	1	57	yes	single-token	2	128000,57	yes	fragmented	1	62	yes	single-token
91	U+005B	[	1	1	58	yes	single-token	1	58	yes	single-token	1	58	yes	single-token	1	58	yes	single-token	2	128000,58	yes	fragmented	1	63	yes	single-token
92	U+005C	\	1	1	59	yes	single-token	1	59	yes	single-token	1	59	yes	single-token	1	59	yes	single-token	2	128000,59	yes	fragmented	1	64	yes	single-token
93	U+005D	]	1	1	60	yes	single-token	1	60	yes	single-token	1	60	yes	single-token	1	60	yes	single-token	2	128000,60	yes	fragmented	1	65	yes	single-token
94	U+005E	^	1	1	61	yes	single-token	1	61	yes	single-token	1	61	yes	single-token	1	61	yes	single-token	2	128000,61	yes	fragmented	1	66	yes	single-token
95	U+005F	_	1	1	62	yes	single-token	1	62	yes	single-token	1	62	yes	single-token	1	62	yes	single-token	2	128000,62	yes	fragmented	1	67	yes	single-token
96	U+0060	`	1	1	63	yes	single-token	1	63	yes	single-token	1	63	yes	single-token	1	63	yes	single-token	2	128000,63	yes	fragmented	1	68	yes	single-token
97	U+0061	a	1	1	64	yes	single-token	1	64	yes	single-token	1	64	yes	single-token	1	64	yes	single-token	2	128000,64	yes	fragmented	1	69	yes	single-token
98	U+0062	b	1	1	65	yes	single-token	1	65	yes	single-token	1	65	yes	single-token	1	65	yes	single-token	2	128000,65	yes	fragmented	1	70	yes	single-token
99	U+0063	c	1	1	66	yes	single-token	1	66	yes	single-token	1	66	yes	single-token	1	66	yes	single-token	2	128000,66	yes	fragmented	1	71	yes	single-token
100	U+0064	d	1	1	67	yes	single-token	1	67	yes	single-token	1	67	yes	single-token	1	67	yes	single-token	2	128000,67	yes	fragmented	1	72	yes	single-token
101	U+0065	e	1	1	68	yes	single-token	1	68	yes	single-token	1	68	yes	single-token	1	68	yes	single-token	2	128000,68	yes	fragmented	1	73	yes	single-token
102	U+0066	f	1	1	69	yes	single-token	1	69	yes	single-token	1	69	yes	single-token	1	69	yes	single-token	2	128000,69	yes	fragmented	1	74	yes	single-token
103	U+0067	g	1	1	70	yes	single-token	1	70	yes	single-token	1	70	yes	single-token	1	70	yes	single-token	2	128000,70	yes	fragmented	1	75	yes	single-token
104	U+0068	h	1	1	71	yes	single-token	1	71	yes	single-token	1	71	yes	single-token	1	71	yes	single-token	2	128000,71	yes	fragmented	1	76	yes	single-token
105	U+0069	i	1	1	72	yes	single-token	1	72	yes	single-token	1	72	yes	single-token	1	72	yes	single-token	2	128000,72	yes	fragmented	1	77	yes	single-token
106	U+006A	j	1	1	73	yes	single-token	1	73	yes	single-token	1	73	yes	single-token	1	73	yes	single-token	2	128000,73	yes	fragmented	1	78	yes	single-token
107	U+006B	k	1	1	74	yes	single-token	1	74	yes	single-token	1	74	yes	single-token	1	74	yes	single-token	2	128000,74	yes	fragmented	1	79	yes	single-token
108	U+006C	l	1	1	75	yes	single-token	1	75	yes	single-token	1	75	yes	single-token	1	75	yes	single-token	2	128000,75	yes	fragmented	1	80	yes	single-token
109	U+006D	m	1	1	76	yes	single-token	1	76	yes	single-token	1	76	yes	single-token	1	76	yes	single-token	2	128000,76	yes	fragmented	1	81	yes	single-token
110	U+006E	n	1	1	77	yes	single-token	1	77	yes	single-token	1	77	yes	single-token	1	77	yes	single-token	2	128000,77	yes	fragmented	1	82	yes	single-token
111	U+006F	o	1	1	78	yes	single-token	1	78	yes	single-token	1	78	yes	single-token	1	78	yes	single-token	2	128000,78	yes	fragmented	1	83	yes	single-token
112	U+0070	p	1	1	79	yes	single-token	1	79	yes	single-token	1	79	yes	single-token	1	79	yes	single-token	2	128000,79	yes	fragmented	1	84	yes	single-token
113	U+0071	q	1	1	80	yes	single-token	1	80	yes	single-token	1	80	yes	single-token	1	80	yes	single-token	2	128000,80	yes	fragmented	1	85	yes	single-token
114	U+0072	r	1	1	81	yes	single-token	1	81	yes	single-token	1	81	yes	single-token	1	81	yes	single-token	2	128000,81	yes	fragmented	1	86	yes	single-token
115	U+0073	s	1	1	82	yes	single-token	1	82	yes	single-token	1	82	yes	single-token	1	82	yes	single-token	2	128000,82	yes	fragmented	1	87	yes	single-token
116	U+0074	t	1	1	83	yes	single-token	1	83	yes	single-token	1	83	yes	single-token	1	83	yes	single-token	2	128000,83	yes	fragmented	1	88	yes	single-token
117	U+0075	u	1	1	84	yes	single-token	1	84	yes	single-token	1	84	yes	single-token	1	84	yes	single-token	2	128000,84	yes	fragmented	1	89	yes	single-token
118	U+0076	v	1	1	85	yes	single-token	1	85	yes	single-token	1	85	yes	single-token	1	85	yes	single-token	2	128000,85	yes	fragmented	1	90	yes	single-token
119	U+0077	w	1	1	86	yes	single-token	1	86	yes	single-token	1	86	yes	single-token	1	86	yes	single-token	2	128000,86	yes	fragmented	1	91	yes	single-token
120	U+0078	x	1	1	87	yes	single-token	1	87	yes	single-token	1	87	yes	single-token	1	87	yes	single-token	2	128000,87	yes	fragmented	1	92	yes	single-token
121	U+0079	y	1	1	88	yes	single-token	1	88	yes	single-token	1	88	yes	single-token	1	88	yes	single-token	2	128000,88	yes	fragmented	1	93	yes	single-token
122	U+007A	z	1	1	89	yes	single-token	1	89	yes	single-token	1	89	yes	single-token	1	89	yes	single-token	2	128000,89	yes	fragmented	1	94	yes	single-token
123	U+007B	{	1	1	90	yes	single-token	1	90	yes	single-token	1	90	yes	single-token	1	90	yes	single-token	2	128000,90	yes	fragmented	1	95	yes	single-token
124	U+007C	|	1	1	91	yes	single-token	1	91	yes	single-token	1	91	yes	single-token	1	91	yes	single-token	2	128000,91	yes	fragmented	1	96	yes	single-token
125	U+007D	}	1	1	92	yes	single-token	1	92	yes	single-token	1	92	yes	single-token	1	92	yes	single-token	2	128000,92	yes	fragmented	1	97	yes	single-token
126	U+007E	~	1	1	93	yes	single-token	1	93	yes	single-token	1	93	yes	single-token	1	93	yes	single-token	2	128000,93	yes	fragmented	1	98	yes	single-token
160	U+00A0	 	2	1	5310	yes	single-token	1	5310	yes	single-token	1	4194	yes	single-token	1	1849	yes	single-token	2	128000,4194	yes	byte-ish	1	225	no	roundtrip-fail
161	U+00A1	¡	2	1	20407	yes	single-token	1	20407	yes	single-token	1	40932	yes	single-token	2	126,94	yes	byte-ish	2	128000,40932	yes	byte-ish	1	43679	yes	single-token
162	U+00A2	¢	2	1	61242	yes	single-token	1	61242	yes	single-token	1	57494	yes	single-token	1	44359	yes	single-token	2	128000,57494	yes	byte-ish	1	44135	yes	single-token
163	U+00A3	£	2	1	18943	yes	single-token	1	18943	yes	single-token	1	22386	yes	single-token	1	14988	yes	single-token	2	128000,22386	yes	byte-ish	1	38858	yes	single-token
164	U+00A4	¤	2	1	43470	yes	single-token	1	43470	yes	single-token	1	82638	yes	single-token	2	126,97	yes	byte-ish	2	128000,82638	yes	byte-ish	2	131,102	yes	byte-ish
165	U+00A5	¥	2	1	43625	yes	single-token	1	43625	yes	single-token	1	82193	yes	single-token	2	126,98	yes	byte-ish	2	128000,82193	yes	byte-ish	2	131,103	yes	byte-ish
166	U+00A6	¦	2	1	41468	yes	single-token	1	41468	yes	single-token	1	65721	yes	single-token	2	126,99	yes	byte-ish	2	128000,65721	yes	byte-ish	1	57537	yes	single-token
167	U+00A7	§	2	1	18596	yes	single-token	1	18596	yes	single-token	1	18332	yes	single-token	1	16273	yes	single-token	2	128000,18332	yes	byte-ish	1	19669	yes	single-token
168	U+00A8	¨	2	1	64259	yes	single-token	1	64259	yes	single-token	1	76105	yes	single-token	1	37102	yes	single-token	2	128000,76105	yes	byte-ish	2	14963,235	no	roundtrip-fail
169	U+00A9	©	2	1	19742	yes	single-token	1	19742	yes	single-token	1	20644	yes	single-token	1	16224	yes	single-token	2	128000,20644	yes	byte-ish	1	42005	yes	single-token
170	U+00AA	ª	2	1	25661	yes	single-token	1	25661	yes	single-token	1	65005	yes	single-token	2	126,103	yes	byte-ish	2	128000,65005	yes	byte-ish	1	69	no	roundtrip-fail
171	U+00AB	«	2	1	4244	yes	single-token	1	4244	yes	single-token	1	24633	yes	single-token	1	24328	yes	single-token	2	128000,24633	yes	byte-ish	1	9930	yes	single-token
172	U+00AC	¬	2	1	74285	yes	single-token	1	74285	yes	single-token	1	83193	yes	single-token	2	126,105	yes	byte-ish	2	128000,83193	yes	byte-ish	2	131,110	yes	byte-ish
174	U+00AE	®	2	1	8980	yes	single-token	1	8980	yes	single-token	1	12175	yes	single-token	1	7461	yes	single-token	2	128000,12175	yes	byte-ish	1	23401	yes	single-token
175	U+00AF	¯	2	1	98049	yes	single-token	1	98049	yes	single-token	1	35085	yes	single-token	1	5196	yes	single-token	2	128000,35085	yes	byte-ish	2	14963,231	no	roundtrip-fail
176	U+00B0	°	2	1	6793	yes	single-token	1	6793	yes	single-token	1	11877	yes	single-token	1	7200	yes	single-token	2	128000,11877	yes	byte-ish	1	7030	yes	single-token
177	U+00B1	±	2	1	32438	yes	single-token	1	32438	yes	single-token	1	38121	yes	single-token	1	22519	yes	single-token	2	128000,38121	yes	byte-ish	1	15136	yes	single-token
178	U+00B2	²	2	1	13848	yes	single-token	1	13848	yes	single-token	1	30556	yes	single-token	1	31185	yes	single-token	2	128000,30556	yes	byte-ish	1	22	no	roundtrip-fail
179	U+00B3	³	2	1	45681	yes	single-token	1	45681	yes	single-token	1	44301	yes	single-token	2	126,111	yes	byte-ish	2	128000,44301	yes	byte-ish	1	23	no	roundtrip-fail
180	U+00B4	´	2	1	14737	yes	single-token	1	14737	yes	single-token	1	29211	yes	single-token	1	18265	yes	single-token	2	128000,29211	yes	byte-ish	1	20209	no	roundtrip-fail
181	U+00B5	µ	2	1	39621	yes	single-token	1	39621	yes	single-token	1	74148	yes	single-token	2	126,113	yes	byte-ish	2	128000,74148	yes	byte-ish	1	19234	no	roundtrip-fail
182	U+00B6	¶	2	1	69022	yes	single-token	1	69022	yes	single-token	1	55609	yes	single-token	1	26604	yes	single-token	2	128000,55609	yes	byte-ish	1	15382	yes	single-token
183	U+00B7	·	2	1	5366	yes	single-token	1	5366	yes	single-token	1	14260	yes	single-token	1	9129	yes	single-token	2	128000,14260	yes	byte-ish	1	21821	yes	single-token
184	U+00B8	¸	2	1	68284	yes	single-token	1	68284	yes	single-token	2	126,116	yes	byte-ish	2	126,116	yes	byte-ish	2	128000,107547	yes	byte-ish	2	14963,105	no	roundtrip-fail
185	U+00B9	¹	2	1	84125	yes	single-token	1	84125	yes	single-token	1	60597	yes	single-token	2	126,117	yes	byte-ish	2	128000,60597	yes	byte-ish	1	21	no	roundtrip-fail
186	U+00BA	º	2	1	11006	yes	single-token	1	11006	yes	single-token	1	29300	yes	single-token	1	36165	yes	single-token	2	128000,29300	yes	byte-ish	1	83	no	roundtrip-fail
187	U+00BB	»	2	1	1924	yes	single-token	1	1924	yes	single-token	1	13289	yes	single-token	1	17730	yes	single-token	2	128000,13289	yes	byte-ish	1	10873	yes	single-token
188	U+00BC	¼	2	1	43439	yes	single-token	1	43439	yes	single-token	1	42973	yes	single-token	2	126,120	yes	byte-ish	2	128000,42973	yes	byte-ish	3	21,4652,24	no	roundtrip-fail
189	U+00BD	½	2	1	27124	yes	single-token	1	27124	yes	single-token	1	27154	yes	single-token	1	23141	yes	single-token	2	128000,27154	yes	byte-ish	3	21,4652,22	no	roundtrip-fail
190	U+00BE	¾	2	1	75174	yes	single-token	1	75174	yes	single-token	1	68496	yes	single-token	2	126,122	yes	byte-ish	2	128000,68496	yes	byte-ish	3	23,4652,24	no	roundtrip-fail
191	U+00BF	¿	2	1	11986	yes	single-token	1	11986	yes	single-token	1	31282	yes	single-token	2	126,123	yes	byte-ish	2	128000,31282	yes	byte-ish	1	30849	yes	single-token
192	U+00C0	À	2	1	18724	yes	single-token	1	18724	yes	single-token	1	73053	yes	single-token	2	127,222	yes	byte-ish	2	128000,73053	yes	byte-ish	2	132,227	yes	byte-ish
193	U+00C1	Á	2	1	7711	yes	single-token	1	7711	yes	single-token	1	44801	yes	single-token	2	127,223	yes	byte-ish	2	128000,44801	yes	byte-ish	1	54283	yes	single-token
194	U+00C2	Â	2	1	19323	yes	single-token	1	19323	yes	single-token	1	33895	yes	single-token	1	5523	yes	single-token	2	128000,33895	yes	byte-ish	1	33990	yes	single-token
195	U+00C3	Ã	2	1	11170	yes	single-token	1	11170	yes	single-token	1	19321	yes	single-token	1	5746	yes	single-token	2	128000,19321	yes	byte-ish	1	40170	yes	single-token
196	U+00C4	Ä	2	1	12921	yes	single-token	1	12921	yes	single-token	1	88075	yes	single-token	2	127,226	yes	byte-ish	2	128000,88075	yes	byte-ish	2	132,231	yes	byte-ish
197	U+00C5	Å	2	1	13631	yes	single-token	1	13631	yes	single-token	2	127,227	yes	byte-ish	2	127,227	yes	byte-ish	2	128000,106453	yes	byte-ish	1	56735	yes	single-token
198	U+00C6	Æ	2	1	43447	yes	single-token	1	43447	yes	single-token	2	127,228	yes	byte-ish	2	127,228	yes	byte-ish	2	128000,113119	yes	byte-ish	2	132,233	yes	byte-ish
199	U+00C7	Ç	2	1	10226	yes	single-token	1	10226	yes	single-token	1	47013	yes	single-token	2	127,229	yes	byte-ish	2	128000,47013	yes	byte-ish	1	58100	yes	single-token
200	U+00C8	È	2	1	33302	yes	single-token	1	33302	yes	single-token	2	127,230	yes	byte-ish	2	127,230	yes	byte-ish	2	128000,112638	yes	byte-ish	2	132,235	yes	byte-ish
201	U+00C9	É	2	1	5859	yes	single-token	1	5859	yes	single-token	1	27887	yes	single-token	1	38351	yes	single-token	2	128000,27887	yes	byte-ish	1	20015	yes	single-token
202	U+00CA	Ê	2	1	35651	yes	single-token	1	35651	yes	single-token	2	127,232	yes	byte-ish	2	127,232	yes	byte-ish	2	128000,107267	yes	byte-ish	2	132,237	yes	byte-ish
203	U+00CB	Ë	2	1	96905	yes	single-token	1	96905	yes	single-token	2	127,233	yes	byte-ish	2	127,233	yes	byte-ish	2	128000,116314	yes	byte-ish	2	132,238	yes	byte-ish
204	U+00CC	Ì	2	1	87838	yes	single-token	1	87838	yes	single-token	2	127,234	yes	byte-ish	2	127,234	yes	byte-ish	2	128000,108578	yes	byte-ish	2	132,239	yes	byte-ish
205	U+00CD	Í	2	1	8463	yes	single-token	1	8463	yes	single-token	1	53320	yes	single-token	1	38638	yes	single-token	2	128000,53320	yes	byte-ish	1	50511	yes	single-token
206	U+00CE	Î	2	1	15774	yes	single-token	1	15774	yes	single-token	1	72907	yes	single-token	2	127,236	yes	byte-ish	2	128000,72907	yes	byte-ish	2	132,241	yes	byte-ish
207	U+00CF	Ï	2	1	161935	yes	single-token	1	161935	yes	single-token	2	127,237	yes	byte-ish	2	127,237	yes	byte-ish	2	128000,114721	yes	byte-ish	2	132,242	yes	byte-ish
208	U+00D0	Ð	2	1	62752	yes	single-token	1	62752	yes	single-token	1	96299	yes	single-token	2	127,238	yes	byte-ish	2	128000,96299	yes	byte-ish	2	132,243	yes	byte-ish
209	U+00D1	Ñ	2	1	37820	yes	single-token	1	37820	yes	single-token	1	72454	yes	single-token	2	127,239	yes	byte-ish	2	128000,72454	yes	byte-ish	2	132,244	yes	byte-ish
210	U+00D2	Ò	2	1	90553	yes	single-token	1	90553	yes	single-token	2	127,240	yes	byte-ish	2	127,240	yes	byte-ish	2	128000,113755	yes	byte-ish	2	132,245	yes	byte-ish
211	U+00D3	Ó	2	1	11818	yes	single-token	1	11818	yes	single-token	1	40162	yes	single-token	2	127,241	yes	byte-ish	2	128000,40162	yes	byte-ish	1	52275	yes	single-token
212	U+00D4	Ô	2	1	41635	yes	single-token	1	41635	yes	single-token	2	127,242	yes	byte-ish	2	127,242	yes	byte-ish	2	128000,106865	yes	byte-ish	2	132,247	yes	byte-ish
213	U+00D5	Õ	2	1	32318	yes	single-token	1	32318	yes	single-token	2	127,243	yes	byte-ish	2	127,243	yes	byte-ish	2	128000,113920	yes	byte-ish	2	132,248	yes	byte-ish
214	U+00D6	Ö	2	1	9146	yes	single-token	1	9146	yes	single-token	1	64461	yes	single-token	2	127,244	yes	byte-ish	2	128000,64461	yes	byte-ish	2	132,249	yes	byte-ish
215	U+00D7	×	2	1	12378	yes	single-token	1	12378	yes	single-token	1	18028	yes	single-token	1	12906	yes	single-token	2	128000,18028	yes	byte-ish	1	18492	yes	single-token
216	U+00D8	Ø	2	1	16671	yes	single-token	1	16671	yes	single-token	2	127,246	yes	byte-ish	2	127,246	yes	byte-ish	2	128000,115554	yes	byte-ish	2	132,251	yes	byte-ish
217	U+00D9	Ù	2	1	109836	yes	single-token	1	109836	yes	single-token	2	127,247	yes	byte-ish	2	127,247	yes	byte-ish	2	128000,123086	yes	byte-ish	2	132,252	yes	byte-ish
218	U+00DA	Ú	2	1	20136	yes	single-token	1	20136	yes	single-token	1	71594	yes	single-token	2	127,248	yes	byte-ish	2	128000,71594	yes	byte-ish	2	132,253	yes	byte-ish
219	U+00DB	Û	2	2	127,249	yes	byte-ish	2	127,249	yes	byte-ish	2	127,249	yes	byte-ish	1	34543	yes	single-token	2	128000,122799	yes	byte-ish	2	132,254	yes	byte-ish
220	U+00DC	Ü	2	1	8858	yes	single-token	1	8858	yes	single-token	1	53591	yes	single-token	2	127,250	yes	byte-ish	2	128000,53591	yes	byte-ish	1	53834	yes	single-token
221	U+00DD	Ý	2	1	53495	yes	single-token	1	53495	yes	single-token	2	127,251	yes	byte-ish	2	127,251	yes	byte-ish	2	128000,105836	yes	byte-ish	2	132,256	yes	byte-ish
